,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma[732],0.943,0.032,0.887,1.005,0.001,0.001,574.0,965.0,1.0
sigma[733],4.282,0.204,3.906,4.657,0.008,0.004,694.0,926.0,1.0
sigma[734],0.91,0.032,0.854,0.973,0.001,0.001,577.0,926.0,1.0
sigma[735],2.498,0.077,2.358,2.643,0.003,0.001,711.0,862.0,1.0
sigma[736],0.832,0.031,0.776,0.894,0.001,0.001,586.0,928.0,1.0
sigma[737],0.847,0.031,0.791,0.909,0.001,0.001,584.0,928.0,1.0
sigma[738],3.933,0.176,3.6,4.251,0.007,0.003,698.0,899.0,1.0
sigma[739],1.141,0.033,1.081,1.204,0.001,0.001,575.0,1006.0,1.0
sigma[740],0.601,0.029,0.55,0.659,0.001,0.001,613.0,973.0,1.0
sigma[741],1.031,0.032,0.975,1.095,0.001,0.001,564.0,1025.0,1.0
sigma[742],2.017,0.054,1.916,2.115,0.002,0.001,689.0,1341.0,1.0
sigma[743],0.656,0.03,0.603,0.715,0.001,0.001,601.0,962.0,1.0
sigma[744],1.978,0.052,1.881,2.074,0.002,0.001,687.0,1380.0,1.0
sigma[745],1.174,0.034,1.11,1.234,0.001,0.001,582.0,1043.0,1.0
sigma[746],2.44,0.074,2.303,2.578,0.003,0.001,706.0,1189.0,1.0
sigma[747],1.502,0.038,1.432,1.573,0.002,0.001,639.0,1326.0,1.0
sigma[748],1.265,0.034,1.202,1.329,0.001,0.001,602.0,1169.0,1.0
sigma[749],1.325,0.035,1.261,1.39,0.001,0.001,613.0,1085.0,1.0
sigma[750],0.81,0.031,0.754,0.872,0.001,0.001,585.0,928.0,1.0
sigma[751],0.777,0.031,0.724,0.84,0.001,0.001,588.0,910.0,1.0
sigma[752],1.926,0.05,1.831,2.017,0.002,0.001,680.0,1352.0,1.0
sigma[753],0.968,0.032,0.911,1.03,0.001,0.001,568.0,992.0,1.0
sigma[754],0.988,0.032,0.931,1.05,0.001,0.001,562.0,976.0,1.0
sigma[755],1.595,0.04,1.52,1.667,0.002,0.001,643.0,1272.0,1.0
sigma[756],4.646,0.235,4.217,5.085,0.009,0.004,690.0,1006.0,1.0
sigma[757],1.001,0.032,0.943,1.063,0.001,0.001,563.0,998.0,1.0
sigma[758],2.102,0.058,1.993,2.206,0.002,0.001,697.0,1286.0,1.0
sigma[759],0.643,0.03,0.59,0.702,0.001,0.001,602.0,962.0,1.0
sigma[760],1.758,0.045,1.681,1.845,0.002,0.001,656.0,1375.0,1.0
sigma[761],2.54,0.08,2.396,2.689,0.003,0.002,712.0,870.0,1.0
sigma[762],0.631,0.03,0.579,0.69,0.001,0.001,604.0,954.0,1.0
sigma[763],1.817,0.047,1.726,1.896,0.002,0.001,664.0,1477.0,1.0
sigma[764],3.454,0.139,3.196,3.712,0.005,0.003,702.0,776.0,1.0
sigma[765],0.782,0.031,0.729,0.846,0.001,0.001,587.0,910.0,1.0
sigma[766],4.36,0.211,3.971,4.747,0.008,0.004,694.0,958.0,1.0
sigma[767],0.749,0.031,0.697,0.813,0.001,0.001,590.0,925.0,1.0
sigma[768],1.259,0.034,1.193,1.32,0.001,0.001,601.0,1169.0,1.0
sigma[769],3.093,0.114,2.882,3.306,0.004,0.002,709.0,821.0,1.0
sigma[770],1.3,0.035,1.236,1.364,0.001,0.001,609.0,1124.0,1.0
sigma[771],3.803,0.166,3.508,4.122,0.006,0.003,698.0,888.0,1.0
sigma[772],3.126,0.116,2.91,3.344,0.004,0.002,708.0,837.0,1.0
sigma[773],2.718,0.09,2.552,2.886,0.003,0.002,718.0,812.0,1.0
sigma[774],1.934,0.051,1.837,2.024,0.002,0.001,681.0,1352.0,1.0
sigma[775],2.132,0.059,2.019,2.238,0.002,0.001,698.0,1268.0,1.0
sigma[776],1.445,0.037,1.372,1.509,0.001,0.001,631.0,1253.0,1.0
sigma[777],3.245,0.125,3.011,3.474,0.005,0.002,706.0,772.0,1.0
sigma[778],3.073,0.113,2.864,3.284,0.004,0.002,708.0,821.0,1.0
sigma[779],4.583,0.23,4.167,5.015,0.009,0.004,691.0,1009.0,1.0
sigma[780],1.396,0.036,1.328,1.461,0.001,0.001,623.0,1170.0,1.0
sigma[781],0.959,0.032,0.902,1.021,0.001,0.001,572.0,992.0,1.0
sigma[782],1.028,0.032,0.972,1.093,0.001,0.001,564.0,1025.0,1.0
sigma[783],0.732,0.031,0.68,0.796,0.001,0.001,591.0,944.0,1.0
sigma[784],0.712,0.03,0.658,0.773,0.001,0.001,595.0,972.0,1.0
sigma[785],2.211,0.063,2.101,2.335,0.002,0.001,701.0,1268.0,1.0
sigma[786],0.658,0.03,0.605,0.718,0.001,0.001,601.0,962.0,1.0
sigma[787],1.228,0.034,1.164,1.29,0.001,0.001,594.0,1214.0,1.0
sigma[788],2.584,0.082,2.431,2.735,0.003,0.002,713.0,846.0,1.0
sigma[789],1.061,0.033,1.002,1.123,0.001,0.001,562.0,1043.0,1.0
sigma[790],3.794,0.165,3.501,4.111,0.006,0.003,698.0,888.0,1.0
sigma[791],3.62,0.152,3.344,3.905,0.006,0.003,700.0,857.0,1.0
sigma[792],2.095,0.057,1.986,2.199,0.002,0.001,696.0,1269.0,1.0
sigma[793],1.776,0.045,1.686,1.852,0.002,0.001,659.0,1393.0,1.0
sigma[794],0.885,0.032,0.829,0.947,0.001,0.001,578.0,877.0,1.0
sigma[795],1.376,0.036,1.311,1.443,0.001,0.001,617.0,1164.0,1.0
sigma[796],3.165,0.119,2.942,3.385,0.004,0.002,706.0,786.0,1.0
sigma[797],2.949,0.105,2.763,3.153,0.004,0.002,710.0,821.0,1.0
sigma[798],2.524,0.079,2.381,2.671,0.003,0.001,712.0,870.0,1.0
sigma[799],1.126,0.033,1.067,1.19,0.001,0.001,572.0,1006.0,1.0
